clg_name,location,fee,ratings,courses,clg_type,entrance_exam
BITS Pilani - Birla Institute of Technology Campus 198,Coimbatore,4.38 L,4.1,23,Pvt,MHT CET
NIT Surathkal Campus 199,Kolkata,9.43 L,4.2,19,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 200,Kolkata,11.95 L,4.4,10,Govt,JEE Main
NIT Trichy Campus 201,Bengaluru,1.26 L,4.4,13,Govt,KCET
NIT Trichy Campus 202,Nagpur,21.08 L,4.6,32,Govt,JEE Main
NIT Surathkal Campus 203,Kolkata,7.04 L,3.6,24,Govt,VITEEE
IIIT Hyderabad Campus 204,Indore,14.98 L,3.6,36,Pvt,KCET
NIT Surathkal Campus 205,Delhi,11.15 L,4.2,20,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 206,Indore,1.62 L,3.1,36,Pvt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 207,Delhi,8.56 L,4.8,27,Govt,JEE Main
NIT Trichy Campus 208,Indore,6.55 L,4.5,8,Govt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 209,Pune,17.04 L,4.1,36,Govt,UPTAC
BITS Pilani - Birla Institute of Technology Campus 210,Kolkata,1.39 L,4.2,28,Pvt,BITSAT
NIT Trichy Campus 211,Indore,4.31 L,3.4,14,Govt,KCET
IIT Madras - Indian Institute of Technology Campus 212,Delhi,9.02 L,4.8,39,Govt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 213,Nagpur,11.74 L,4.6,38,Govt,JEE Main
NIT Trichy Campus 214,Hyderabad,19.23 L,4,13,Govt,BITSAT
VIT Vellore Campus 215,Coimbatore,5.37 L,3.3,7,Pvt,KCET
NIT Trichy Campus 216,Mumbai,2.12 L,4.7,20,Govt,UPTAC
IIT Madras - Indian Institute of Technology Campus 217,Mumbai,19.11 L,4.5,10,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 218,Indore,21.76 L,4.3,9,Pvt,UPTAC
VIT Vellore Campus 219,Delhi,14.09 L,3.7,34,Pvt,UPTAC
VIT Vellore Campus 220,Kolkata,13.18 L,4.8,36,Pvt,JEE Main
VIT Vellore Campus 221,Coimbatore,5.36 L,4.3,7,Pvt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 222,Nagpur,2.96 L,4.4,16,Govt,BITSAT
IIIT Hyderabad Campus 223,Coimbatore,21.4 L,3.2,18,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 224,Coimbatore,4.91 L,4.6,39,Govt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 225,Delhi,10.67 L,3.4,29,Govt,JEE Main
VIT Vellore Campus 226,Delhi,4.32 L,3.8,35,Pvt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 227,Nagpur,13.67 L,4.5,26,Pvt,KCET
IIT Bombay - Indian Institute of Technology Campus 228,Hyderabad,8.62 L,4.8,16,Govt,UPTAC
IIIT Hyderabad Campus 229,Pune,18.0 L,3.4,17,Pvt,VITEEE
IIT Bombay - Indian Institute of Technology Campus 230,Kolkata,15.97 L,4.6,29,Govt,VITEEE
VIT Vellore Campus 231,Delhi,7.62 L,3.2,28,Pvt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 232,Indore,20.14 L,4.1,5,Pvt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 233,Hyderabad,2.85 L,4,10,Pvt,UPTAC
NIT Trichy Campus 234,Chennai,11.36 L,3.2,34,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 235,Mumbai,14.09 L,3.4,7,Pvt,BITSAT
IIIT Hyderabad Campus 236,Pune,17.08 L,3.3,26,Pvt,KCET
BITS Pilani - Birla Institute of Technology Campus 237,Chennai,14.99 L,3.7,13,Pvt,BITSAT
IIIT Hyderabad Campus 238,Pune,1.35 L,4.7,34,Pvt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 239,Mumbai,4.83 L,4.3,33,Govt,JEE Main
BITS Pilani - Birla Institute of Technology Campus 240,Bengaluru,7.46 L,4.7,26,Pvt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 241,Chennai,7.98 L,4.7,39,Govt,VITEEE
NIT Surathkal Campus 242,Nagpur,18.7 L,4.3,15,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 243,Coimbatore,21.29 L,3.7,27,Govt,JEE Main
NIT Trichy Campus 244,Kolkata,3.05 L,3.3,27,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 245,Hyderabad,17.35 L,3.7,6,Govt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 246,Indore,17.6 L,3.9,7,Pvt,UPTAC
VIT Vellore Campus 247,Mumbai,21.49 L,3.7,31,Pvt,KCET
IIT Delhi - Indian Institute of Technology Campus 248,Kolkata,4.87 L,3.2,38,Govt,JEE Main
IIT Madras - Indian Institute of Technology Campus 249,Indore,0.94 L,3.5,7,Govt,JEE Main
VIT Vellore Campus 250,Pune,3.32 L,4.7,33,Pvt,KCET
VIT Vellore Campus 251,Bengaluru,3.34 L,3.2,31,Pvt,UPTAC
IIT Madras - Indian Institute of Technology Campus 252,Mumbai,11.62 L,4.1,12,Govt,BITSAT
IIIT Hyderabad Campus 253,Delhi,10.59 L,3.7,9,Pvt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 254,Coimbatore,3.0 L,4,11,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 255,Mumbai,18.59 L,4.3,29,Pvt,MHT CET
IIT Bombay - Indian Institute of Technology Campus 256,Bengaluru,16.38 L,3.9,18,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 257,Delhi,1.79 L,3.6,13,Pvt,UPTAC
NIT Surathkal Campus 258,Coimbatore,6.73 L,3.7,8,Govt,VITEEE
IIT Madras - Indian Institute of Technology Campus 259,Indore,4.55 L,4.6,32,Govt,VITEEE
NIT Trichy Campus 260,Chennai,4.87 L,4.3,40,Govt,JEE Main
VIT Vellore Campus 261,Pune,15.7 L,4.4,28,Pvt,JEE Main
IIT Madras - Indian Institute of Technology Campus 262,Indore,5.52 L,3.3,14,Govt,MHT CET
IIT Madras - Indian Institute of Technology Campus 263,Pune,4.64 L,3.4,31,Govt,MHT CET
VIT Vellore Campus 264,Chennai,6.87 L,3.5,19,Pvt,BITSAT
IIT Delhi - Indian Institute of Technology Campus 265,Indore,9.28 L,4.7,7,Govt,VITEEE
VIT Vellore Campus 266,Nagpur,15.14 L,4.3,17,Pvt,"JEE Main, JEE Advanced"
IIT Bombay - Indian Institute of Technology Campus 267,Mumbai,18.11 L,3.1,12,Govt,UPTAC
NIT Trichy Campus 268,Kolkata,13.1 L,3.1,11,Govt,BITSAT
BITS Pilani - Birla Institute of Technology Campus 269,Kolkata,7.86 L,3.8,12,Pvt,MHT CET
NIT Surathkal Campus 270,Hyderabad,14.88 L,4.4,9,Govt,BITSAT
NIT Trichy Campus 271,Bengaluru,2.14 L,4.8,27,Govt,KCET
IIT Delhi - Indian Institute of Technology Campus 272,Coimbatore,2.18 L,3.1,17,Govt,KCET
BITS Pilani - Birla Institute of Technology Campus 273,Delhi,14.72 L,4.7,18,Pvt,MHT CET
NIT Trichy Campus 274,Chennai,12.71 L,4,31,Govt,"JEE Main, JEE Advanced"
IIIT Hyderabad Campus 275,Chennai,13.51 L,3.4,34,Pvt,"JEE Main, JEE Advanced"
IIT Madras - Indian Institute of Technology Campus 276,Delhi,16.69 L,4.4,40,Govt,UPTAC
NIT Surathkal Campus 277,Indore,16.29 L,4.5,17,Govt,"JEE Main, JEE Advanced"
NIT Surathkal Campus 278,Chennai,19.54 L,4.6,15,Govt,"JEE Main, JEE Advanced"
IIT Delhi - Indian Institute of Technology Campus 279,Nagpur,11.72 L,3.3,33,Govt,BITSAT
IIIT Hyderabad Campus 280,Delhi,18.85 L,3.6,26,Pvt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 281,Nagpur,19.58 L,4.1,23,Pvt,MHT CET
BITS Pilani - Birla Institute of Technology Campus 282,Mumbai,17.74 L,3.9,15,Pvt,"JEE Main, JEE Advanced"
NIT Trichy Campus 283,Chennai,5.28 L,4.4,27,Govt,VITEEE
BITS Pilani - Birla Institute of Technology Campus 284,Bengaluru,18.96 L,3.8,17,Pvt,UPTAC
IIT Delhi - Indian Institute of Technology Campus 285,Kolkata,3.0 L,4.1,24,Govt,UPTAC
BITS Pilani - Birla Institute of Technology Campus 286,Hyderabad,17.48 L,4.4,24,Pvt,VITEEE
VIT Vellore Campus 287,Delhi,4.49 L,3.5,10,Pvt,VITEEE
IIT Delhi - Indian Institute of Technology Campus 288,Pune,19.77 L,4.7,25,Govt,KCET
IIIT Hyderabad Campus 289,Pune,15.64 L,4.8,38,Pvt,UPTAC
NIT Trichy Campus 290,Kolkata,16.17 L,4.1,39,Govt,"JEE Main, JEE Advanced"
BITS Pilani - Birla Institute of Technology Campus 291,Chennai,9.05 L,3.7,24,Pvt,KCET
